website,robots_txt,sitemap_page,is_sitemap_in_robots,ogrn
http://tsz-magistral-74.narod.ru,True,True,False,1057813167060
http://empp.ru,True,True,True,1117799002540
http://ropnp.ru,True,False,False,1125000004634
http://expert-nko.ru,False,False,False,1127799020975
http://assoneft.ru,True,False,False,1027700058671
http://volynka.ru,True,True,False,1027700244923
http://mkapbk.ru,True,True,False,1036142003260
http://www.ivbeton.ru,True,True,False,1033700022179
http://ski-dolina.ru,False,False,False,1035602450950
http://avtoshkoladuk.ru,True,True,True,1033301809892
http://pdc.su,True,False,False,1035009560409
http://kurchatov-hram.ru,False,False,False,1034690002016
http://www.fondfenix.com,False,False,False,1037704015601
http://www.rushandball.ru,True,True,False,1037700098072
http://amoko39.ru,True,True,True,1033900800207
http://hram-triozera.ru,True,True,True,1031659006796
http://shcherbina.ru,True,False,False,1037865011128
http://cnip.ru,False,False,False,1037739256862
http://pokrovbobrava.ru,True,True,True,1034690005954
http://www.profagro.ru,False,False,False,1037739456600
http://www.zilmed.ru,True,True,True,1037739148677
http://lapinski.ru,True,True,True,1037843109260
http://podvodoy.pro,True,True,False,1037000006284
http://politeia.ru,True,False,False,1037700250576
http://sp-oktb.ru,True,True,True,1020201938030
http://pravoslavmolodezh.ru,True,False,False,1037739236820
http://uraltennis.ru,True,False,False,1036605618830
http://stomatologiso.ru,True,True,True,1036605621535
http://emsch.ru,False,True,False,1037739475685
http://ssopir.ru,False,False,False,1037739898866
http://www.ynpress.com,True,True,True,1037739337470
http://www.aha.ru/~ipar,False,False,False,1037739744415
http://www.npar.ru,True,True,False,1037739744415
http://rostropovitch.ru,False,False,False,1037739448097
http://penzaeparhia.ru,True,True,False,1035800002930
http://www.certif.ru,True,True,True,1037739013355
http://ecki.ru,True,True,False,1036603504398
http://vpds.ru,True,True,False,1033692006380
http://www.mostrud.ru,True,False,False,1037739340319
http://russiankids.ru,True,True,True,1036603497050
http://ortd-druzhba.ru,False,True,False,1035000034024
http://hopeww.ru,True,False,False,1037800015384
http://ecocamp.ru,True,True,True,1037739836859
http://www.arabesk.su,True,True,True,1037700008994
http://taekwondo-moscow.ru,True,True,True,1037739646570
http://orenburg-vog.ru,True,True,True,1035600002030
http://ufa-voi.ru,True,True,True,1030200007914
http://ffufa.ru,True,False,False,1030200020201
http://www.ritual.org.ru,False,False,False,1037739468821
http://www.moscow-export.com,True,True,True,1037739000530
http://fc-ross.ru,True,True,False,1035000036830
http://www.tpplo.ru,True,False,False,1035000016556
http://щигровская-епархия.рф,True,True,False,1034690002599
http://ftsspb.ru,True,True,False,1037858009200
http://богословка.рф,True,True,False,1037843109501
http://www.yellow-pages.ru/ladaexpert,False,False,False,1036300997204
http://paritet163.ru,True,True,False,1036300667040
http://stosur.ru,True,False,False,1032335041287
http://mostovskoevoa.ru,True,False,False,1032335004052
http://proftrening.com,True,True,True,1036900082020
http://www.start7.ru,True,True,True,1037739081720
http://uta-psn.ru,True,True,False,1036604385036
http://hramvkuntsevo.ru,True,True,True,1037739217944
http://igrafond.ru,True,True,False,1031800201091
http://revsouzsv.ru,True,False,False,1036300444135
http://deti.websib.ru,False,False,False,1035400000591
http://fund-olga.ru,True,False,False,1035000021363
http://www.angiolsurgery.org,True,False,False,1037739534414
http://soav-samara.ru,False,False,False,1036303384270
http://www.livingthread.ru,True,True,True,1037700069725
http://www.veterany.ru,False,False,False,1037700094630
http://www.moscow-painters.ru,False,False,False,1037739028524
http://spasi-menia.ru,True,True,True,1037402320955
http://grushinskij.ru,True,False,False,1036303386437
http://yarrell.ru,True,True,True,1036303390364
http://samara.ruy.ru,False,False,False,1036303395105
http://www.crfr.ru,True,False,False,1037739055551
http://пентатлон.рф,True,True,False,1037746006759
http://catholickhabarovsk.ru,True,True,False,1032700000343
http://clubvi.ru,False,False,False,1037739308067
http://medrese-gali.ru,True,False,False,1036303380156
http://mozartsociety.ru,True,True,True,1037739463486
http://vera-lab.ru,True,False,False,1037739295318
http://novosibzemlya.ru,True,True,False,1037739557250
http://trinityrzn.ru,True,True,True,1036200002365
http://www.helenru.narod.ru,True,True,True,1037739575037
http://www.alta.ru,True,True,True,1037739455357
http://новаясемья.рф,True,False,False,1036303395776
http://rusfdcal.ru,False,False,False,1037739774786
http://www.charity-tcf.ru,False,False,False,1037739041086
http://chance-fond.ru,True,False,False,1036605604386
http://nortest.pro,True,True,True,1037700193960
http://zadetej.ru,True,True,True,1037739350923
http://iveroni.ru,False,False,False,1037739653104
http://www.powereng.ru,True,False,False,1037746022346
http://zhitnaya-hram.ru,True,True,False,1037706007173
http://носовскиймонастырь.рф,False,True,False,1036800002700
http://sovetveteranov-almet.ru,True,True,True,1031659019050
http://www.triad.ru,True,True,False,1037739275265
http://greatbear.ru,True,False,False,1037858003347
http://www.mmcfo.ru,True,True,True,1037739243684
http://коллегия-адвокатов-содействие.рф,True,True,False,1033400263566
http://iacis.ru,True,True,True,1037843103286
http://kuzneparhia.ru,True,False,False,1035800008551
