id,title,score,numericValue,numericUnit,website
first-contentful-paint,First Contentful Paint,0.91,920.0,millisecond,http://gkhrf.ru
interactive,Time to Interactive,0.97,1856.0,millisecond,http://ассоциациямывместе.рф
largest-contentful-paint,Largest Contentful Paint,0.48,2455.0,millisecond,http://ассоциациямывместе.рф
first-contentful-paint,First Contentful Paint,0.99,605.0,millisecond,http://ассоциациямывместе.рф
interactive,Time to Interactive,0.63,3862.5,millisecond,http://vash-sobesednik.ru
largest-contentful-paint,Largest Contentful Paint,0.37,2889.5,millisecond,http://vash-sobesednik.ru
first-contentful-paint,First Contentful Paint,0.22,2225.0,millisecond,http://vash-sobesednik.ru
interactive,Time to Interactive,0.99,1495.0,millisecond,http://lawyer27.ru
largest-contentful-paint,Largest Contentful Paint,0.91,1160.0,millisecond,http://lawyer27.ru
first-contentful-paint,First Contentful Paint,0.87,1000.0,millisecond,http://lawyer27.ru
interactive,Time to Interactive,1.0,925.0,millisecond,http://dosaaf12.ru
largest-contentful-paint,Largest Contentful Paint,0.92,1122.5,millisecond,http://dosaaf12.ru
first-contentful-paint,First Contentful Paint,0.9,925.0,millisecond,http://dosaaf12.ru
interactive,Time to Interactive,1.0,536.0,millisecond,http://ncpa.ru
largest-contentful-paint,Largest Contentful Paint,0.96,940.0,millisecond,http://ncpa.ru
first-contentful-paint,First Contentful Paint,1.0,531.0,millisecond,http://ncpa.ru
interactive,Time to Interactive,0.93,2262.0,millisecond,http://cv12.ru
largest-contentful-paint,Largest Contentful Paint,0.86,1327.5,millisecond,http://cv12.ru
first-contentful-paint,First Contentful Paint,0.89,960.0,millisecond,http://cv12.ru
interactive,Time to Interactive,0.74,3317.0,millisecond,http://uni08.ru
largest-contentful-paint,Largest Contentful Paint,0.3,3204.0,millisecond,http://uni08.ru
first-contentful-paint,First Contentful Paint,0.83,1080.0,millisecond,http://uni08.ru
interactive,Time to Interactive,1.0,690.0,millisecond,http://metko43.ru
largest-contentful-paint,Largest Contentful Paint,0.99,710.0,millisecond,http://metko43.ru
first-contentful-paint,First Contentful Paint,0.98,690.0,millisecond,http://metko43.ru
interactive,Time to Interactive,1.0,1180.0,millisecond,http://ghope.ru
