vk,count_members,count_posts_all,count_posts_per_month,likes_overall_all,likes_mean_all,comments_overall_all,comments_mean_all,reposts_overall_all,reposts_mean_all,views_overall_all,views_mean_all,ads_overall_all,ads_mean_all,ogrn,shortName,fullName,field,website,group_id
https://vk.com/mosrso,12604.0,1330.0,6.67,1980.0,99.0,106.0,5.3,1980.0,99.0,82219.0,4110.95,0.0,0.0,1117799023242,"МОСКОВСКОЕ РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ МОЛОДЕЖНОЙ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""РОССИЙСКИЕ СТУДЕНЧЕСКИЕ ОТРЯДЫ""","МОСКОВСКОЕ РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ МОЛОДЕЖНОЙ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""РОССИЙСКИЕ СТУДЕНЧЕСКИЕ ОТРЯДЫ""",Студенческие инициативы,mosrso.ru,mosrso
https://vk.com/most_we_help_people,691.0,687.0,20.0,553.0,27.65,50.0,2.5,553.0,27.65,9356.0,467.8,0.0,0.0,1022900006250,"АРОО ""МОСТ""","АРХАНГЕЛЬСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ПО СОДЕЙСТВИЮ ЛИЦАМ С МЕНТАЛЬНЫМИ ОСОБЕННОСТЯМИ ЗДОРОВЬЯ ""МОСТ""",Медицина и здравоохранение,arhmost.ru,most_we_help_people
https://vk.com/mostovayasloboda,,1442.0,20.0,67.0,3.35,1.0,0.05,67.0,3.35,,,0.0,0.0,1137300000969,"ТОС ""МОСТОВАЯ СЛОБОДА""","ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ТЕРРИТОРИАЛЬНОЕ ОБЩЕСТВЕННОЕ САМОУПРАВЛЕНИЕ ГОРОДА УЛЬЯНОВСКА ""МОСТОВАЯ СЛОБОДА""",Развитие гражданского общества,http://mostovayasloboda.ru,mostovayasloboda
https://vk.com/mosurbanforum,8203.0,4200.0,20.0,213.0,10.65,19.0,0.95,213.0,10.65,13458.0,672.9,0.0,0.0,1127799022119,"АНО ""МОСКОВСКИЙ УРБАНИСТИЧЕСКИЙ ФОРУМ""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""МОСКОВСКИЙ УРБАНИСТИЧЕСКИЙ ФОРУМ""","Культура, искусство",mosurbanforum.ru,mosurbanforum
https://vk.com/mosvitte,,9751.0,10.0,352.0,17.6,6.0,0.3,352.0,17.6,42078.0,2103.9,0.0,0.0,1027739021628,"ЧОУВО ""МУ ИМ. С.Ю. ВИТТЕ""","ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МОСКОВСКИЙ УНИВЕРСИТЕТ ИМЕНИ С.Ю. ВИТТЕ""","Образование, просвещение",muiv.ru,mosvitte
https://vk.com/moto_nrmf,364.0,137.0,5.0,33.0,1.65,1.0,0.05,33.0,1.65,5943.0,297.15,0.0,0.0,1037746005571,НРМФ,"ОБЩЕРОССИЙСКАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""НАЦИОНАЛЬНАЯ РОССИЙСКАЯ МОТОЦИКЛЕТНАЯ ФЕДЕРАЦИЯ""",Спорт,nrmf.ru,moto_nrmf
https://vk.com/motosportpenza,465.0,1953.0,20.0,78.0,3.9,0.0,0.0,78.0,3.9,2885.0,144.25,0.0,0.0,1035800006550,МФПО,"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ МОТОЦИКЛЕТНОГО СПОРТА ПЕНЗЕНСКОЙ ОБЛАСТИ""",Спорт,motosura.ru,motosportpenza
https://vk.com/motosportrussia,8666.0,2295.0,10.0,1775.0,88.75,53.0,2.65,1775.0,88.75,124506.0,6225.3,0.0,0.0,1037700141962,МФР,"ОБЩЕРОССИЙСКАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ МОТОЦИКЛЕТНОГО СПОРТА РОССИИ""",Спорт,www.mfr.ru,motosportrussia
https://vk.com/moypolk,89906.0,6446.0,10.0,5819.0,290.95,115.0,5.75,5819.0,290.95,116021.0,5801.05,0.0,0.0,1147000000069,"МИПОД ""БЕССМЕРТНЫЙ ПОЛК""","МЕЖРЕГИОНАЛЬНОЕ ИСТОРИКО-ПАТРИОТИЧЕСКОЕ ОБЩЕСТВЕННОЕ ДВИЖЕНИЕ ""БЕССМЕРТНЫЙ ПОЛК""","Ветераны, военные и патриоты",moypolk.ru,moypolk
https://vk.com/mozerteam,201.0,23.0,3.33,230.0,11.5,1.0,0.05,230.0,11.5,30262.0,1513.1,0.0,0.0,1197700001542,МОО ПОПУЛЯРИЗАЦИИ И РАЗВИТИЯ ФИГУРНОГО КАТАНИЯ «МОЗЕР ТИМ» («КОМАНДА МОЗЕР»),МЕЖРЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ПОПУЛЯРИЗАЦИИ И РАЗВИТИЯ ФИГУРНОГО КАТАНИЯ «МОЗЕР ТИМ» («КОМАНДА МОЗЕР»),Спорт,mozerteam.ru,mozerteam
